Municipio;populacao
Adamantina;34687
Adolfo;4351
Aguaí;32072
Águas da Prata;7369
Águas de Lindóia;17930
Águas de Santa Bárbara;7177
Águas de São Pedro;2780
Agudos;37680
Alambari;6141
Alfredo Marcondes;4445
Altair;3451
Altinópolis;16818
Alto Alegre;3841
Alumínio;17301
Álvares Florence;3915
Álvares Machado;27255
Álvaro de Carvalho;4808
Alvinlândia;2885
Americana;237240
Américo Brasiliense;33019
Américo de Campos;5870
Amparo;68008
Analândia;4589
Andradina;59783
Angatuba;24022
Anhembi;5674
Anhumas;4023
Aparecida;32569
Aparecida d'Oeste;4086
Apiaí;24585
Araçariguama;21522
Araçatuba;200124
Araçoiaba da Serra;32443
Aramina;5420
Arandu;6885
Arapeí;2330
Araraquara;242228
Araras;130866
Arco-Íris;2044
Arealva;8130
Areias;3577
Areiópolis;10130
Ariranha;7602
Artur Nogueira;51456
Arujá;86678
Aspásia;1842
Assis;101409
Atibaia;158647
Auriflama;13692
Avaí;4483
Avanhandava;11263
Avaré;92805
Bady Bassitt;27260
Balbinos;3887
Bálsamo;9596
Bananal;9969
Barão de Antonina;3531
Barbosa;5640
Bariri;31595
Barra Bonita;34346
Barra do Chapéu;5179
Barra do Turvo;6876
Barretos;122485
Barrinha;32092
Barueri;316473
Bastos;21503
Batatais;58402
Bauru;379146
Bebedouro;76373
Bento de Abreu;2606
Bernardino de Campos;11607
Bertioga;64188
Bilac;7319
Birigui;118979
Biritiba Mirim;29683
Boa Esperança do Sul;12978
Bocaina;11259
Bofete;10460
Boituva;61081
Bom Jesus dos Perdões;22006
Bom Sucesso de Itararé;3555
Borá;907
Boracéia;4715
Borborema;14226
Borebi;2713
Botucatu;145155
Bragança Paulista;176811
Braúna;5356
Brejo Alegre;2565
Brodowski;25201
Brotas;23898
Buri;20250
Buritama;17210
Buritizal;4356
Cabrália Paulista;4299
Cabreúva;47011
Caçapava;96202
Cachoeira Paulista;31564
Caconde;17101
Cafelândia;16654
Caiabu;3712
Caieiras;95032
Caiuá;5466
Cajamar;92689
Cajati;28515
Cajobi;9133
Cajuru;23830
Campina do Monte Alegre;5954
Campinas;1139047
Campo Limpo Paulista;77632
Campos do Jordão;46974
Campos Novos Paulista;4888
Cananéia;12289
Canas;4931
Cândido Mota;29449
Cândido Rodrigues;2889
Canitar;6283
Capão Bonito;46337
Capela do Alto;22866
Capivari;50068
Caraguatatuba;134873
Carapicuíba;386984
Cardoso;11345
Casa Branca;28083
Cássia dos Coqueiros;2799
Castilho;19977
Catanduva;115791
Catiguá;7003
Cedral;12618
Cerqueira César;21469
Cerquilho;44695
Cesário Lange;19048
Charqueada;15535
Clementina;6982
Colina;18486
Colômbia;6629
Conchal;28101
Conchas;15232
Cordeirópolis;24514
Coroados;5400
Coronel Macedo;4280
Corumbataí;4195
Cosmópolis;59773
Cosmorama;8719
Cotia;274413
Cravinhos;33281
Cristais Paulista;9272
Cruzália;2108
Cruzeiro;74961
Cubatão;112476
Cunha;22110
Descalvado;31756
Diadema;393237
Dirce Reis;1620
Divinolândia;11158
Dobrada;8759
Dois Córregos;24510
Dolcinópolis;2207
Dourado;8096
Dracena;45474
Duartina;12328
Dumont;9471
Echaporã;6205
Eldorado;13069
Elias Fausto;17699
Elisiário;3138
Embaúba;2323
Embu das Artes;250691
Embu-Guaçu;66970
Emilianópolis;3014
Engenheiro Coelho;19566
Espírito Santo do Pinhal;39816
Espírito Santo do Turvo;4157
Estrela d'Oeste;9417
Estrela do Norte;2703
Euclides da Cunha Paulista;7924
Fartura;16641
Fernandópolis;71186
Fernando Prestes;5942
Fernão;1656
Ferraz de Vasconcelos;179198
Flora Rica;1487
Floreal;2733
Flórida Paulista;12958
Florínea;3851
Franca;352536
Francisco Morato;165139
Franco da Rocha;144849
Gabriel Monteiro;2763
Gália;6380
Garça;42110
Gastão Vidigal;3252
Gavião Peixoto;4702
General Salgado;10312
Getulina;10232
Glicério;4138
Guaiçara;11239
Guaimbê;5512
Guaíra;39279
Guapiaçu;21711
Guapiara;17071
Guará;18606
Guaraçaí;7441
Guaraci;10350
Guarani d'Oeste;1968
Guarantã;6427
Guararapes;31043
Guararema;31236
Guaratinguetá;118044
Guareí;15013
Guariba;37498
Guarujá;287634
Guarulhos;1291771
Guatapará;7320
Guzolândia;4246
Herculândia;9125
Holambra;15094
Hortolândia;236641
Iacanga;10437
Iacri;6131
Iaras;8010
Ibaté;32178
Ibirá;11690
Ibirarema;6385
Ibitinga;60033
Ibiúna;75605
Icém;7819
Iepê;7619
Igaraçu do Tietê;23106
Igarapava;26212
Igaratá;10605
Iguape;29115
Ilhabela;34934
Ilha Comprida;13419
Ilha Solteira;25549
Indaiatuba;255748
Indiana;5090
Indiaporã;4035
Inúbia Paulista;3615
Ipaussu;13712
Iperó;36459
Ipeúna;6831
Ipiguá;6761
Iporanga;4046
Ipuã;14454
Iracemápolis;21967
Irapuã;6867
Irapuru;7085
Itaberá;17983
Itaí;25180
Itajobi;16989
Itaju;3618
Itanhaém;112476
Itaoca;3422
Itapecerica da Serra;158522
Itapetininga;157790
Itapeva;89728
Itapevi;232297
Itapira;72022
Itapirapuã Paulista;4306
Itápolis;39493
Itaporanga;14085
Itapuí;13659
Itapura;3979
Itaquaquecetuba;369275
Itararé;44438
Itariri;15528
Itatiba;121590
Itatinga;19070
Itirapina;16148
Itirapuã;5779
Itobi;8046
Itu;168240
Itupeva;70616
Ituverava;37571
Jaborandi;6221
Jaboticabal;71821
Jacareí;240275
Jaci;7613
Jacupiranga;16097
Jaguariúna;59347
Jales;48776
Jambeiro;6397
Jandira;118045
Jardinópolis;45282
Jarinu;37535
Jaú;133497
Jeriquara;3863
Joanópolis;12815
João Ramalho;4371
José Bonifácio;36633
Júlio Mesquita;4254
Jumirim;3056
Jundiaí;443221
Junqueirópolis;20448
Juquiá;17154
Juquitiba;27404
Lagoinha;5083
Laranjal Paulista;26261
Lavínia;9689
Lavrinhas;7171
Leme;98161
Lençóis Paulista;66505
Limeira;291869
Lindóia;7014
Lins;74779
Lorena;84855
Lourdes;1950
Louveira;51847
Lucélia;20061
Lucianópolis;2372
Luís Antônio;12265
Luiziânia;4701
Lupércio;3981
Lutécia;2661
Macatuba;16829
Macaubal;7481
Macedônia;3963
Magda;3165
Mairinque;50027
Mairiporã;93853
Manduri;9871
Marabá Paulista;4573
Maracaí;12673
Marapoama;3292
Mariápolis;3513
Marília;237627
Marinópolis;1860
Martinópolis;24881
Matão;79033
Mauá;418261
Mendonça;6159
Meridiano;4572
Mesópolis;1952
Miguelópolis;19441
Mineiros do Tietê;11230
Miracatu;18553
Mira Estrela;3126
Mirandópolis;27983
Mirante do Paranapanema;15917
Mirassol;63337
Mirassolândia;4669
Mococa;67681
Mogi das Cruzes;451505
Mogi Guaçu;153658
Mogi Mirim;92558
Mombuca;3722
Monções;1937
Mongaguá;61951
Monte Alegre do Sul;8627
Monte Alto;47574
Monte Aprazível;22280
Monte Azul Paulista;18151
Monte Castelo;4222
Monteiro Lobato;4138
Monte Mor;64662
Morro Agudo;27933
Morungaba;13720
Motuca;4034
Murutinga do Sul;3737
Nantes;2660
Narandiba;5713
Natividade da Serra;6999
Nazaré Paulista;18217
Neves Paulista;9699
Nhandeara;9852
Nipoã;4750
Nova Aliança;6693
Nova Campina;8497
Nova Canaã Paulista;2032
Nova Castilho;1062
Nova Europa;9311
Nova Granada;19419
Nova Guataporanga;2156
Nova Independência;4609
Novais;4412
Nova Luzitânia;2837
Nova Odessa;62019
Novo Horizonte;38324
Nuporanga;7391
Ocauçu;4331
Óleo;2512
Olímpia;55074
Onda Verde;4771
Oriente;6085
Orindiúva;6024
Orlândia;38319
Osasco;728615
Oscar Bressane;2470
Osvaldo Cruz;31272
Ourinhos;103970
Ouroeste;10294
Ouro Verde;7779
Pacaembu;14877
Palestina;11476
Palmares Paulista;9650
Palmeira d'Oeste;8903
Palmital;19594
Panorama;14964
Paraguaçu Paulista;41120
Paraibuna;17667
Paraíso;6099
Paranapanema;19395
Paranapuã;4031
Parapuã;10580
Pardinho;7153
Pariquera-Açu;19233
Parisi;2892
Patrocínio Paulista;14512
Paulicéia;7955
Paulínia;110537
Paulistânia;2090
Paulo de Faria;7400
Pederneiras;44827
Pedra Bela;6557
Pedranópolis;2787
Pedregulho;15525
Pedreira;43112
Pedrinhas Paulista;2804
Pedro de Toledo;11281
Penápolis;61679
Pereira Barreto;24095
Pereiras;8737
Peruíbe;68352
Piacatu;5519
Piedade;52970
Pilar do Sul;27619
Pindamonhangaba;165428
Pindorama;14542
Pinhalzinho;15224
Piquerobi;3264
Piquete;12490
Piracaia;26029
Piracicaba;423323
Piraju;29436
Pirajuí;22431
Pirangi;10885
Pirapora do Bom Jesus;18370
Pirapozinho;25348
Pirassununga;73545
Piratininga;15108
Pitangueiras;33674
Planalto;4389
Platina;3025
Poá;103765
Poloni;5592
Pompéia;20196
Pongaí;3395
Pontal;37607
Pontalinda;4127
Pontes Gestal;2387
Populina;4127
Porangaba;10451
Porto Feliz;56497
Porto Ferreira;52649
Potim;20392
Potirendaba;18496
Pracinha;2578
Pradópolis;17078
Praia Grande;349935
Pratânia;5126
Presidente Alves;3804
Presidente Bernardes;14490
Presidente Epitácio;39505
Presidente Prudente;225668
Presidente Venceslau;35201
Promissão;35131
Quadra;3405
Quatá;13163
Queiroz;3265
Queluz;9159
Quintana;7038
Rafard;8965
Rancharia;28588
Redenção da Serra;4494
Regente Feijó;20145
Reginópolis;7662
Registro;59947
Restinga;6404
Ribeira;3132
Ribeirão Bonito;10989
Ribeirão Branco;18627
Ribeirão Corrente;4608
Ribeirão do Sul;4677
Ribeirão dos Índios;2025
Ribeirão Grande;7450
Ribeirão Pires;115559
Ribeirão Preto;698642
Riversul;5599
Rifaina;4049
Rincão;9098
Rinópolis;9259
Rio Claro;201418
Rio das Pedras;31328
Rio Grande da Serra;44170
Riolândia;10309
Rosana;17440
Roseira;10832
Rubiácea;2700
Rubinéia;3833
Sabino;5112
Sagres;2474
Sales;6437
Sales Oliveira;11411
Salesópolis;15202
Salmourão;4808
Saltinho;8161
Salto;134319
Salto de Pirapora;43748
Salto Grande;9050
Sandovalina;3645
Santa Adélia;14018
Santa Albertina;6393
Santa Bárbara d'Oeste;183347
Santa Branca;13975
Santa Clara d'Oeste;2598
Santa Cruz da Conceição;4277
Santa Cruz da Esperança;2116
Santa Cruz das Palmeiras;28864
Santa Cruz do Rio Pardo;46442
Santa Ernestina;6118
Santa Fé do Sul;34794
Santa Gertrudes;23611
Santa Isabel;53174
Santa Lúcia;7149
Santa Maria da Serra;5243
Santa Mercedes;2956
Santana da Ponte Pensa;1670
Santana de Parnaíba;154105
Santa Rita d'Oeste;2733
Santa Rita do Passa Quatro;24833
Santa Rosa de Viterbo;23411
Santa Salete;1645
Santo Anastácio;17963
Santo André;748919
Santo Antônio da Alegria;6775
Santo Antônio de Posse;23244
Santo Antônio do Aracanguá;8379
Santo Antônio do Jardim;6126
Santo Antônio do Pinhal;7133
Santo Expedito;3000
Santópolis do Aguapeí;3899
Santos;418608
São Bento do Sapucaí;11674
São Bernardo do Campo;810729
São Caetano do Sul;165655
São Carlos;254857
São Francisco;2602
São João da Boa Vista;92547
São João das Duas Pontes;2580
